Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1654348208.252650,15137,0,1
1,NewOrder,1654348208.267816,16574,0,1
2,Payment,1654348208.284417,8366,0,1
2,Payment,1654348208.292806,33394,0,1
2,Payment,1654348208.326237,8262,0,1
1,NewOrder,1654348208.334532,16620,0,1
1,NewOrder,1654348208.351183,16587,0,1
5,StockLevel,1654348208.367805,3090,0,1
5,StockLevel,1654348208.370921,2182,0,1
1,NewOrder,1654348208.373124,19847,0,1
2,Payment,1654348208.392999,8200,0,1
2,Payment,1654348208.401218,8378,0,1
5,StockLevel,1654348208.409613,2412,0,1
2,Payment,1654348208.412049,5799,0,1
2,Payment,1654348208.417867,33511,0,1
5,StockLevel,1654348208.451409,2397,0,1
2,Payment,1654348208.453833,5841,0,1
2,Payment,1654348208.459695,8302,0,1
2,Payment,1654348208.468024,8322,0,1
1,NewOrder,1654348208.476372,16624,0,1
1,NewOrder,1654348208.493036,25049,0,1
2,Payment,1654348208.518119,8220,0,1
1,NewOrder,1654348208.526358,8643,0,1
1,NewOrder,1654348208.535025,41682,0,1
1,NewOrder,1654348208.576744,24833,0,1
3,OrderStatus,1654348208.601607,1908,0,1
2,Payment,1654348208.603544,6339,0,1
2,Payment,1654348208.609910,8302,0,1
2,Payment,1654348208.618239,8309,0,1
2,Payment,1654348208.626599,8289,0,1
1,NewOrder,1654348208.634937,16567,0,1
1,NewOrder,1654348208.651528,16788,0,1
5,StockLevel,1654348208.668331,1175,0,1
1,NewOrder,1654348208.669520,40542,0,1
2,Payment,1654348208.710095,26829,0,1
2,Payment,1654348208.736957,23058,0,1
2,Payment,1654348208.760049,27424,0,1
1,NewOrder,1654348208.787504,148648,0,1
1,NewOrder,1654348208.936191,64579,0,1
2,Payment,1654348209.000802,10653,0,1
1,NewOrder,1654348209.011483,16024,0,1
3,OrderStatus,1654348209.027533,2036,0,1
3,OrderStatus,1654348209.029600,1745,0,1
1,NewOrder,1654348209.031391,12718,0,1
1,NewOrder,1654348209.044140,16668,0,1
1,NewOrder,1654348209.060866,16730,0,1
1,NewOrder,1654348209.077626,8327,0,1
2,Payment,1654348209.085967,8331,0,1
1,NewOrder,1654348209.094315,8337,0,1
2,Payment,1654348209.102675,8369,0,1
1,NewOrder,1654348209.111066,75034,0,1
1,NewOrder,1654348209.186133,16703,0,1
1,NewOrder,1654348209.202863,24996,0,1
2,Payment,1654348209.227880,8197,0,1
5,StockLevel,1654348209.236098,2581,0,1
2,Payment,1654348209.238696,5816,0,1
1,NewOrder,1654348209.244528,16788,0,1
3,OrderStatus,1654348209.261335,1611,0,1
1,NewOrder,1654348209.262965,23402,0,1
2,Payment,1654348209.286391,8304,0,1
2,Payment,1654348209.294715,8180,0,1
2,Payment,1654348209.302918,8289,0,1
1,NewOrder,1654348209.311230,16819,0,1
3,OrderStatus,1654348209.328073,2176,0,1
1,NewOrder,1654348209.330271,22853,0,1
1,NewOrder,1654348209.353147,16691,0,1
1,NewOrder,1654348209.369864,16671,0,1
2,Payment,1654348209.386558,33177,0,1
1,NewOrder,1654348209.419765,16689,0,1
1,NewOrder,1654348209.436479,17338,0,1
2,Payment,1654348209.453844,7742,0,1
1,NewOrder,1654348209.461608,16793,0,1
1,NewOrder,1654348209.478432,16584,0,1
2,Payment,1654348209.495042,8360,0,1
5,StockLevel,1654348209.503424,2996,0,1
1,NewOrder,1654348209.506449,13572,0,1
2,Payment,1654348209.520050,8272,0,1
2,Payment,1654348209.528348,8247,0,1
2,Payment,1654348209.536615,8347,0,1
3,OrderStatus,1654348209.544985,1203,0,1
1,NewOrder,1654348209.546202,15604,0,1
1,NewOrder,1654348209.561824,25097,0,1
2,Payment,1654348209.586941,8143,0,1
2,Payment,1654348209.595111,8270,0,1
1,NewOrder,1654348209.603401,16749,0,1
1,NewOrder,1654348209.620178,16636,0,1
1,NewOrder,1654348209.636844,16616,0,1
1,NewOrder,1654348209.653480,8364,0,1
1,NewOrder,1654348209.661863,8429,0,1
1,NewOrder,1654348209.670307,16639,0,1
1,NewOrder,1654348209.686965,33918,0,1
2,Payment,1654348209.720901,7675,0,1
2,Payment,1654348209.728592,8383,0,1
5,StockLevel,1654348209.736995,2828,0,1
1,NewOrder,1654348209.739847,22282,0,1
4,Delivery,1654348209.762152,33395,0,1
2,Payment,1654348209.795571,8301,0,1
1,NewOrder,1654348209.803899,108362,0,1
2,Payment,1654348209.912279,8273,0,1
5,StockLevel,1654348209.920565,1400,0,1
2,Payment,1654348209.921975,6878,0,1
2,Payment,1654348209.928863,8379,0,1
1,NewOrder,1654348209.937263,16817,0,1
1,NewOrder,1654348209.954106,16915,0,1
1,NewOrder,1654348209.971061,16548,0,1
1,NewOrder,1654348209.987642,16600,0,1
2,Payment,1654348210.004269,8239,0,1
1,NewOrder,1654348210.012538,16684,0,1
4,Delivery,1654348210.029247,25107,0,1
2,Payment,1654348210.054379,8327,0,1
1,NewOrder,1654348210.062728,16858,0,1
5,StockLevel,1654348210.079610,1990,0,1
1,NewOrder,1654348210.081628,14617,0,1
2,Payment,1654348210.096276,8191,0,1
2,Payment,1654348210.104494,8261,0,1
1,NewOrder,1654348210.112775,16718,0,1
2,Payment,1654348210.129517,8833,0,1
2,Payment,1654348210.138370,7804,0,1
2,Payment,1654348210.146196,8295,0,1
2,Payment,1654348210.154514,8310,0,1
1,NewOrder,1654348210.162849,16642,0,1
3,OrderStatus,1654348210.179508,1163,0,1
2,Payment,1654348210.180684,7092,0,1
2,Payment,1654348210.187786,8341,0,1
1,NewOrder,1654348210.196137,8461,0,1
