Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
3,ScanRecord,1654428022.981185,764,0,1
6,ReadModifyWriteRecord,1654428022.981962,1299,0,1
1,ReadRecord,1654428022.983271,678,0,1
3,ScanRecord,1654428022.983963,673,0,1
6,ReadModifyWriteRecord,1654428022.984649,1120,0,1
3,ScanRecord,1654428022.985778,762,0,1
3,ScanRecord,1654428022.986551,1504,0,1
4,UpdateRecord,1654428022.988067,9782,0,1
3,ScanRecord,1654428022.997860,707,0,1
3,ScanRecord,1654428022.998580,789,0,1
3,ScanRecord,1654428022.999383,958,0,1
6,ReadModifyWriteRecord,1654428023.000355,5715,0,1
4,UpdateRecord,1654428023.006075,443,0,1
1,ReadRecord,1654428023.006523,469,0,1
4,UpdateRecord,1654428023.006996,393,0,1
1,ReadRecord,1654428023.007394,271,0,1
1,ReadRecord,1654428023.007669,248,0,1
3,ScanRecord,1654428023.007921,244,0,1
3,ScanRecord,1654428023.008169,260,0,1
2,InsertRecord,1654428023.008433,6064,0,1
5,DeleteRecord,1654428023.014502,33414,0,1
4,UpdateRecord,1654428023.047930,568,0,1
1,ReadRecord,1654428023.048506,397,0,1
1,ReadRecord,1654428023.048911,372,0,1
2,InsertRecord,1654428023.049290,6859,0,1
1,ReadRecord,1654428023.056156,564,0,1
4,UpdateRecord,1654428023.056729,7981,0,1
4,UpdateRecord,1654428023.064727,1127,0,1
5,DeleteRecord,1654428023.065872,6946,0,1
1,ReadRecord,1654428023.072829,701,0,1
4,UpdateRecord,1654428023.073542,827,0,1
3,ScanRecord,1654428023.074380,715,0,1
2,InsertRecord,1654428023.075105,6038,0,1
3,ScanRecord,1654428023.081156,750,0,1
2,InsertRecord,1654428023.081921,7576,0,1
1,ReadRecord,1654428023.089508,636,0,1
1,ReadRecord,1654428023.090156,635,0,1
6,ReadModifyWriteRecord,1654428023.090804,7019,0,1
1,ReadRecord,1654428023.097835,672,0,1
5,DeleteRecord,1654428023.098519,7686,0,1
3,ScanRecord,1654428023.106216,669,0,1
3,ScanRecord,1654428023.106896,444,0,1
3,ScanRecord,1654428023.107351,483,0,1
6,ReadModifyWriteRecord,1654428023.107842,594,0,1
3,ScanRecord,1654428023.108444,1076,0,1
1,ReadRecord,1654428023.109529,381,0,1
4,UpdateRecord,1654428023.109918,493,0,1
1,ReadRecord,1654428023.110419,413,0,1
2,InsertRecord,1654428023.110839,3604,0,1
4,UpdateRecord,1654428023.114450,8448,0,1
1,ReadRecord,1654428023.122907,450,0,1
